./inputdata/evaluation_set\A -  2- Bild.txt,./inputdata/evaluation_set\A -  3 - RT Online.txt,./inputdata/evaluation_set\A - 1  - JungeWelt.txt,./inputdata/evaluation_set\B -  1 - Compact.txt,./inputdata/evaluation_set\B - 2 - Bild.txt,./inputdata/evaluation_set\B - 3 - FR.txt,./inputdata/evaluation_set\C - 1 - FR.txt,./inputdata/evaluation_set\C - 2 - PI-News.txt,./inputdata/evaluation_set\C - 3 - Bild.txt,./inputdata/evaluation_set\D - 1 Bild.txt,./inputdata/evaluation_set\D - 2 - FR.txt,./inputdata/evaluation_set\D - 3 - PI-News.txt,./inputdata/evaluation_set\E - 1 - FR.txt,./inputdata/evaluation_set\E - 2 - NachDenkSeiten.txt,./inputdata/evaluation_set\E - 3 - PI-News.txt,./inputdata/evaluation_set\F  - 3 - Bild.txt,./inputdata/evaluation_set\F - 1 - Compact.txt,./inputdata/evaluation_set\F - 2- JW.txt,./inputdata/evaluation_set\G - 1 - FR.txt,./inputdata/evaluation_set\G - 2 - Compact.txt,./inputdata/evaluation_set\G - 3 - Bild.txt,./inputdata/evaluation_set\H - 1  - JW.txt,./inputdata/evaluation_set\H - 2 - PI-News.txt,./inputdata/evaluation_set\I - 1 - JW.txt,./inputdata/evaluation_set\I - 2 - Bild.txt,./inputdata/evaluation_set\I - 3 - FR.txt,./inputdata/evaluation_set\J - 1  - FR.txt,./inputdata/evaluation_set\J - 2 - JW.txt,./inputdata/evaluation_set\J - 3 - Bild.txt,./inputdata/evaluation_set\K - 1- FR.txt,./inputdata/evaluation_set\K - 2 - JW.txt,./inputdata/evaluation_set\L - 1 - JF.txt,./inputdata/evaluation_set\L - 2 - Bild.txt,./inputdata/evaluation_set\L - 3- Compact.txt,./inputdata/evaluation_set\M - 1 - Compact.txt,./inputdata/evaluation_set\M - 2 - PI-News.txt,./inputdata/evaluation_set\N - 1 - Bild.txt,./inputdata/evaluation_set\N - 2 - Bild.txt,./inputdata/evaluation_set\O - 1 - NachDenkSeiten.txt,./inputdata/evaluation_set\O - 2 - Bild.txt,./inputdata/evaluation_set\P - 1 - Compact.txt,./inputdata/evaluation_set\P - 2 - Compact.txt,./inputdata/evaluation_set\Q - 1 - Bild.txt,./inputdata/evaluation_set\Q - 2 - Bild.txt,./inputdata/evaluation_set\Q - 3 - FR.txt
berlin,moerderische,regierungen,mitte,initiative,umstrittene,debatte,nacht,allasane,groessten,fluechtlingspolitik,30jaehrige,monat,samstagvormittag,griechenland,details,wozu,solidaritaet,ali,ausschluss,streit,regen,fuehlt,lager,verurteilungen,streit,eugipfel,rettungsschiffe,januar,hessische,oury,kalkuel,erbitterten,heissen,selbsternannten,ausschluss,reisebussen,teuer,euagentur,biberach,alexander,kanzleramt,muenchen,details,botschaften
mahmud,isbande,eurozone,beteiligung,sahra,bayerische,abschiebepolitik,sonntag,sal,gefuehlten,bayern,afghane,hebt,sprach,insel,abschiebefall,benoetigen,untereinander,mutmassliche,oeffentlichkeit,abschiebechaos,plastik,kopernikus,sperren,strafbefehl,verschaerfung,asylpolitik,open,weltweit,fluechtlingsrat,jalloh,aquarius,asylstreit,ahmed,retter,oeffentlichkeit,erneut,asylverfahren,frontex,junges,van,gestern,allzu,abschiebefall,konsulate
radya,irak,bewilligten,terroristischen,wagenknecht,asyllandesamt,reisst,bemerkte,versuchen,ungerechtigkeiten,gilt,mansor,flughafen,30jaehriger,lesbos,osama,vorkriegundgewaltinihrerheimatgefluechtete,kriegen,moerder,langwierigen,ladens,faellt,galileo,weder,strafanzeigen,asylpolitik,grossen,arms,visa,hfr,spielen,aufgegangen,rechtfertigt,anis,sea,langwierigen,hohe,laenger,aussengrenzen,liegt,bellen,brisanten,strenge,osama,syrienanrainerstaaten
flohen,stroemen,auszahlung,vereinigung,links,verbessert,thema,familienvater,abgelehnte,fluechtlingspolitik,rigoros,wochenende,flieger,afghane,mitternacht,ladens,waffen,eustaaten,vergewaltiger,verlesung,leibwaechter,zelt,galilei,gesteuert,tragisches,regierungskoalition,wohlfahrtsverbaende,astral,familienzusammenfuehrung,schwarzgruenen,justiz,weigert,innenminister,mohammed,watch,verlesung,zahl,monate,abriegelt,blutend,scheint,geheimtreffen,syrische,ladens,verzeichnen
ishochburg,blut,letzten,unbedingter,rechts,ansicht,druck,pluederhausen,tricks,abschiebt,kuerzlich,mitten,ziel,hamburger,uniformierten,leibwaechter,polizeibekannten,schwaechsten,14jaehrigen,anklage,hoert,mitten,erinnert,verhindert,23jaehriger,vorerst,gemeinsam,spanischen,erteilt,landesregierung,politik,mittelmeer,horst,nennen,berlin,anklage,illegalen,dauerte,angela,kinderzimmer,narren,anwesend,kfzmechaniker,leibwaechter,antraege
rakka,niedergekaempft,kredittranche,haft,samstag,ministerpraesident,schneller,badenwuerttemberg,verbrechen,falschen,bayerische,hamburger,passagiere,hauptbahnhof,reihen,ans,multikriminellen,verbuenden,susanna,oeffentlichkeit,druck,lager,oesterreichische,armutszeugnis,afghane,geeinigt,menschenrechts,hilfsorganisation,belegen,deutlich,fluechtling,aufgelesenen,csu,duffy,sea,oeffentlichkeit,einwanderern,bekam,balkanroute,bett,new,person,eigentlich,ans,familiennachzug
lebt,stehen,hoehe,verurteilter,schaltete,markus,haeufiger,vermeintlichen,drohenden,radikaler,fluechtlingsrat,fussgaengerzone,freiwillig,ahrensburg,eng,tageslicht,sofort,wesentliche,mainz,interesse,nrwfluechtlingsminister,klettern,euabgeordnete,begriffe,woche,grossteil,hilfsorganisationen,proactiva,zahlen,transparenz,sierraleone,bootsfluechtlinge,harte,duntu,eye,interesse,fernbussen,zehnkoepfige,deal,messerstich,yorker,eigentlich,beklagen,tageslicht,vertretungen
paar,gutmenschen,milliarden,pakistani,fraktionsvorsitzende,soeder,abschieben,einbrecher,entgehen,islamist,hingewiesen,14jaehriges,bord,folgte,gestellten,anwalt,strafprozess,ergebnis,ueberzeugung,erziehung,joachim,fliegen,claudia,reichten,muenchen,asylsuchenden,verantwortlichen,open,auswaertigen,betrieb,opfer,laender,linie,bombay,regensburg,erziehung,ausland,fluechtlingsfamilie,erdogan,brust,spekulanten,einreisen,haian,anwalt,jordanien
fuenf,bereit,fast,fruehzeitig,linkspartei,csu,zugeben,haus,zeigt,haian,freistaat,vergewaltigt,zuletzt,verwickelte,tische,ausrichten,freien,euasylgipfels,wiesbadener,jugendlichen,stamp,empor,schmidt,schicksalsfrage,genommen,kuenftig,appelliert,arms,amtes,abschiebehafteinrichtung,dessauer,finden,schreckensszenario,blutgruppen,mission,jugendlichen,aufgegriffen,monatlich,de,lebensgefaehrlich,gefressen,naemlich,rief,ausrichten,libanon
